Hours,Count
0,477
1,297
2,271
3,211
4,151
5,140
6,219
7,283
8,409
9,336
10,303
11,337
12,532
13,405
14,388
15,464
16,462
17,500
18,479
19,431
20,432
21,448
22,472
23,353
0,422
1,243
2,205
3,185
4,159
5,157
6,200
7,308
8,350
9,288
10,378
11,384
12,547
13,373
14,457
15,499
16,457
17,501
18,500
19,429
20,452
21,472
22,505
23,328
0,418
1,233
2,246
3,174
4,130
5,136
6,217
7,289
8,395
9,340
10,343
11,385
12,528
13,429
14,477
15,479
16,502
17,448
18,486
19,387
20,451
21,464
22,434
23,384
0,423
1,239
2,220
3,183
4,146
5,126
6,210
7,278
8,375
9,368
10,303
11,400
12,523
13,425
14,426
15,502
16,486
17,481
18,497
19,425
20,475
21,396
22,440
23,414
0,445
1,270
2,240
3,187
4,187
5,127
6,209
7,283
8,368
9,348
10,360
11,365
12,540
13,368
14,417
15,546
16,558
17,606
18,590
19,466
20,475
21,520
22,577
23,449
0,497
1,330
2,331
3,236
4,192
5,161
6,153
7,175
8,278
9,292
10,251
11,275
12,418
13,305
14,398
15,368
16,443
17,490
18,488
19,428
20,486
21,476
22,522
23,448
0,574
1,423
2,330
3,260
4,243
5,140
6,182
7,163
8,259
9,213
10,274
11,290
12,388
13,283
14,324
15,391
16,358
17,423
18,429
19,412
20,458
21,508
22,525
23,381
0,456
1,268
2,220
3,203
4,148
5,142
6,188
7,249
8,393
9,261
10,298
11,294
12,454
13,375
14,395
15,387
16,414
17,447
18,424
19,361
20,380
21,368
22,404
23,322
0,373
1,189
2,185
3,160
4,135
5,120
6,207
7,275
8,350
9,276
10,281
11,308
12,364
13,372
14,386
15,409
16,420
17,458
18,423
19,357
20,452
21,354
22,441
23,355
0,400
1,266
2,187
3,171
4,147
5,132
6,181
7,275
8,363
9,287
10,300
11,362
12,470
13,381
14,403
15,416
16,410
17,493
18,456
19,418
20,455
21,453
22,404
23,326
0,369
1,227
2,162
3,175
4,147
5,129
6,190
7,232
8,305
9,276
10,309
11,302
12,421
13,326
14,370
15,369
16,418
17,479
18,451
19,391
20,437
21,437
22,431
23,358
0,472
1,273
2,223
3,165
4,141
5,155
6,223
7,217
8,352
9,259
10,322
11,314
12,457
13,332
14,391
15,468
16,435
17,569
18,455
19,385
20,490
21,446
22,475
23,409
0,500
1,326
2,282
3,195
4,180
5,146
6,128
7,177
8,286
9,215
10,284
11,272
12,419
13,283
14,362
15,357
16,419
17,402
18,407
19,363
20,444
21,455
22,462
23,443
0,518
1,371
2,285
3,248
4,179
5,149
6,150
7,147
8,233
9,210
10,240
11,218
12,332
13,250
14,356
15,374
16,333
17,387
18,333
19,354
20,436
21,396
22,389
23,343
0,737
1,349
2,345
3,298
4,213
5,221
6,289
7,397
8,542
9,427
10,426
11,383
12,702
13,436
14,524
15,592
16,626
17,720
18,766
19,599
20,651
21,626
22,638
23,501
0,701
1,349
2,333
3,278
4,206
5,189
6,267
7,410
8,527
9,432
10,409
11,402
12,654
13,484
14,563
15,585
16,630
17,783
18,738
19,685
20,722
21,655
22,642
23,510
0,698
1,381
2,295
3,251
4,231
5,223
6,288
7,382
8,528
9,446
10,460
11,388
12,713
13,528
14,590
15,586
16,590
17,826
18,783
19,678
20,705
21,632
22,687
23,479
0,707
1,387
2,321
3,257
4,200
5,184
6,289
7,378
8,517
9,426
10,441
11,432
12,682
13,489
14,602
15,542
16,643
17,774
18,739
19,679
20,749
21,661
22,688
23,558
0,769
1,401
2,361
3,261
4,197
5,170
6,255
7,362
8,511
9,414
10,406
11,432
12,742
13,535
14,618
15,657
16,700
17,878
18,827
19,710
20,687
21,624
22,688
23,613
0,780
1,473
2,362
3,303
4,278
5,194
6,198
7,218
8,364
9,329
10,415
11,410
12,644
13,459
14,500
15,555
16,611
17,586
18,681
19,569
20,658
21,619
22,712
23,638
0,834
1,509
2,436
3,375
4,265
5,197
6,199
7,201
8,337
9,338
10,341
11,333
12,638
13,407
14,441
15,504
16,554
17,571
18,581
19,564
20,632
21,602
22,784
23,530
0,398
1,287
2,210
3,168
4,114
5,130
6,188
7,207
8,321
9,221
10,223
11,241
12,399
13,335
14,352
15,391
16,329
17,358
18,369
19,403
20,349
21,388
22,432
23,302
0,338
1,200
2,187
3,152
4,103
5,110
6,187
7,222
8,271
9,252
10,245
11,233
12,397
13,310
14,392
15,378
16,380
17,357
18,399
19,366
20,367
21,395
22,422
23,338
0,343
1,220
2,163
3,129
4,107
5,117
6,162
7,211
8,267
9,235
10,270
11,244
12,390
13,342
14,311
15,429
16,389
17,314
18,369
19,412
20,396
21,367
22,417
23,324
0,334
1,205
2,194
3,135
4,106
5,138
6,169
7,205
8,263
9,249
10,234
11,237
12,391
13,315
14,332
15,342
16,365
17,391
18,413
19,396
20,359
21,410
22,419
23,326
0,352
1,243
2,185
3,147
4,122
5,124
6,180
7,191
8,277
9,207
10,243
11,244
12,368
13,310
14,328
15,430
16,370
17,399
18,444
19,408
20,442
21,436
22,472
23,418
0,483
1,382
2,309
3,224
4,132
5,121
6,113
7,142
8,230
9,230
10,209
11,214
12,358
13,295
14,277
15,291
16,336
17,338
18,381
19,363
20,484
21,424
22,511
23,463
0,478
1,480
2,418
3,266
4,189
5,144
6,121
7,137
8,217
9,178
10,207
11,208
12,315
13,216
14,252
15,295
16,289
17,331
18,341
19,403
20,437
21,473
22,549
23,387
0,362
1,184
2,151
3,146
4,145
5,137
6,131
7,201
8,254
9,170
10,220
11,207
12,346
13,224
14,293
15,283
16,345
17,343
18,353
19,292
20,342
21,293
22,286
23,209
0,296
1,175
2,148
3,142
4,122
5,99
6,152
7,173
8,218
9,184
10,216
11,249
12,349
13,222
14,307
15,325
16,341
17,404
18,358
19,352
20,378
21,310
22,309
23,255
0,307
1,175
2,130
3,122
4,114
5,125
6,176
7,182
8,207
9,199
10,233
11,231
12,368
13,279
14,312
15,396
16,324
17,395
18,429
19,348
20,364
21,328
22,331
23,214
0,297
1,162
2,135
3,142
4,98
5,117
6,146
7,185
8,255
9,210
10,206
11,222
12,373
13,271
14,302
15,382
16,390
17,411
18,388
19,384
20,376
21,354
22,331
23,207
0,352
1,205
2,171
3,156
4,131
5,121
6,155
7,204
8,247
9,220
10,231
11,202
12,343
13,281
14,282
15,358
16,400
17,485
18,440
19,351
20,392
21,414
22,386
23,318
0,375
1,252
2,232
3,173
4,152
5,115
6,141
7,131
8,197
9,181
10,213
11,214
12,324
13,228
14,282
15,306
16,305
17,363
18,364
19,331
20,357
21,354
22,386
23,357
0,384
1,276
2,264
3,213
4,149
5,127
6,118
7,122
8,151
9,163
10,179
11,169
12,283
13,212
14,225
15,282
16,312
17,327
18,303
19,292
20,346
21,339
22,358
23,276
0,639
1,414
2,377
3,205
4,210
5,198
6,248
7,403
8,646
9,468
10,489
11,493
12,674
13,520
14,511
15,622
16,880
17,654
18,657
19,608
20,549
21,501
22,553
23,508
0,539
1,357
2,244
3,216
4,202
5,165
6,278
7,404
8,692
9,569
10,495
11,491
12,699
13,593
14,593
15,679
16,1015
17,728
18,710
19,607
20,554
21,483
22,505
23,456
0,511
1,340
2,248
3,205
4,178
5,157
6,254
7,406
8,682
9,528
10,523
11,513
12,778
13,636
14,620
15,817
16,1159
17,877
18,741
19,648
20,623
21,573
22,580
23,557
0,585
1,318
2,255
3,243
4,167
5,162
6,224
7,394
8,641
9,483
10,559
11,530
12,762
13,631
14,653
15,761
16,1049
17,808
18,797
19,660
20,662
21,566
22,607
23,623
0,639
1,472
2,366
3,226
4,199
5,185
6,236
7,386
8,666
9,465
10,509
11,481
12,662
13,551
14,504
15,677
16,1112
17,753
18,881
19,753
20,691
21,657
22,799
23,757
0,889
1,729
2,642
3,294
4,231
5,204
6,184
7,249
8,391
9,375
10,396
11,383
12,553
13,444
14,484
15,606
16,760
17,685
18,743
19,721
20,673
21,690
22,836
23,842
0,917
1,890
2,700
3,351
4,244
5,185
6,191
7,225
8,377
9,313
10,353
11,371
12,590
13,419
14,439
15,586
16,645
17,645
18,656
19,571
20,673
21,547
22,694
23,578
0,29
1,18
2,15
3,17
4,30
5,35
6,54
7,61
8,54
9,51
10,51
11,51
12,66
13,56
14,52
15,41
16,37
17,40
18,34
19,40
20,34
21,31
22,26
23,18
0,40
1,19
2,8
3,9
4,19
5,27
6,48
7,51
8,45
9,54
10,54
11,48
12,62
13,45
14,56
15,47
16,33
17,50
18,46
19,33
20,19
21,28
22,33
23,20
0,47
1,23
2,8
3,10
4,22
5,26
6,58
7,70
8,55
9,56
10,57
11,39
12,66
13,37
14,44
15,30
16,26
17,46
18,38
19,39
20,28
21,30
22,22
23,40
0,23
1,21
2,6
3,18
4,30
5,29
6,60
7,45
8,52
9,38
10,65
11,46
12,54
13,56
14,36
15,46
16,47
17,55
18,52
19,42
20,48
21,30
22,28
23,21
0,36
1,11
2,15
3,15
4,22
5,34
6,48
7,45
8,59
9,57
10,49
11,44
12,49
13,46
14,38
15,58
16,48
17,58
18,52
19,36
20,28
21,29
22,40
23,30
0,31
1,13
2,8
3,11
4,22
5,28
6,42
7,50
8,53
9,44
10,46
11,38
12,37
13,38
14,42
15,40
16,39
17,31
18,46
19,35
20,26
21,24
22,29
23,16
0,29
1,25
2,10
3,10
4,12
5,15
6,20
7,28
8,40
9,42
10,48
11,32
12,46
13,39
14,39
15,37
16,46
17,31
18,32
19,29
20,31
21,24
22,22
23,39
